Gender,AgeGroup,EffortRate,SavingsRate,DistCrime,date,amount,duration,payments,status
female,adult,0,-485.89676185924253,0.06105767202463823,1993-07-05,96396,12,8033,-1
male,adult,0,-444.99581789939066,0.04854980525068983,1993-07-11,165960,36,4610,1
male,adult,1,-415.219261560521,0.053929181051631865,1993-07-28,127080,60,2118,1
female,adult,1,-425.0292747042658,0.07112264763140817,1993-08-03,105804,36,2939,1
male,adult,0,-444.6254032739874,0.1533536992729177,1993-09-06,274740,60,4579,1
male,kid,0,-433.64440195961294,0.06439049720887965,1993-09-13,87840,24,3660,1
male,adult,0,-442.47460867487155,0.0633376420164637,1993-09-15,52788,12,4399,1
female,adult,0,-476.9112199784921,0.08540574047943363,1993-09-24,174744,24,7281,-1
female,adult,1,-428.3510574740113,0.05162732146140681,1993-10-13,154416,48,3217,1
male,adult,0,-448.17421436252846,0.07259435183413437,1993-11-04,117024,24,4876,1
female,adult,1,-397.18843350460037,0.048095413965690705,1993-11-10,21924,36,609,1
male,adult,1,-429.545943362409,0.042525992841315835,1993-11-22,79608,24,3317,1
female,adult,0,-482.4196439240053,0.07388120005643703,1993-12-01,464520,60,7742,-1
male,adult,1,-421.5760544867965,0.049983484177842374,1993-12-08,95400,36,2650,1
female,adult,1,-421.0742024136695,0.03493116641429612,1993-12-08,93888,36,2608,1
female,adult,0,-436.72720755167893,0.04438886042039787,1993-12-09,47016,12,3918,1
male,adult,0,-441.63818855299326,0.05029539257498427,1993-12-13,259740,60,4329,1
female,adult,1,-427.8970008364202,0.1533536992729177,1993-12-16,38148,12,3179,1
male,adult,0,-476.15844186880156,0.09260018245038804,1993-12-21,86616,12,7218,1
male,adult,1,-427.5624327876688,0.09654256005366772,1993-12-23,75624,24,3151,-1
female,adult,0,-430.21507945991164,0.1533536992729177,1994-01-05,80952,24,3373,1
female,adult,0,-430.21507945991164,0.1533536992729177,1994-01-05,80952,24,3373,1
male,adult,1,-414.3230971442228,0.1533536992729177,1994-01-10,24516,12,2043,1
female,adult,0,-440.3357629346398,0.05029539257498427,1994-01-20,253200,60,4220,1
female,adult,1,-400.4026765443901,0.07429299567024478,1994-01-21,21072,24,878,1
male,adult,1,-425.80595053172425,0.1533536992729177,1994-01-31,108144,36,3004,1
female,adult,0,-468.5111721830566,0.1533536992729177,1994-02-06,78936,12,6578,1
female,adult,1,-427.0127852790059,0.09260018245038804,1994-02-07,149040,48,3105,1
female,adult,0,-439.0213884574024,0.08540574047943363,1994-02-17,49320,12,4110,-1
male,adult,0,-455.546660293942,0.0414875888079993,1994-02-23,197748,36,5493,1
male,adult,0,-449.78731031186527,0.10787711328618929,1994-02-27,300660,60,5011,1
male,adult,0,-450.5281395626718,0.06207256288396894,1994-03-01,182628,36,5073,1
male,adult,0,-481.15306488230385,0.09643705463182897,1994-03-08,91632,12,7636,1
female,adult,1,-415.6494204803442,0.11464167721616698,1994-03-11,51696,24,2154,1
female,adult,1,-417.4775958895926,0.04438886042039787,1994-03-15,55368,24,2307,1
male,adult,0,-435.3172422033697,0.08082071812836232,1994-03-16,91200,24,3800,1
male,adult,1,-393.72326442824715,0.042707871572414666,1994-03-30,7656,24,319,1
female,adult,0,-460.4098458597204,0.06377253878768113,1994-03-31,212400,36,5900,1
male,adult,1,-423.1891504361334,0.038609906100708365,1994-04-06,167100,60,2785,1
male,adult,1,-419.6522882064763,0.042525992841315835,1994-04-07,149340,60,2489,1
male,adult,0,-454.81777990201937,0.09654256005366772,1994-04-18,65184,12,5432,1
male,adult,0,-461.40160114709056,0.1533536992729177,1994-05-02,215388,36,5983,-1
male,adult,1,-407.64368502807986,0.047460365545794206,1994-05-09,89040,60,1484,1
male,adult,0,-454.2920301111244,0.083494750621346,1994-05-10,193968,36,5388,1
female,adult,1,-414.1199665431952,0.04031682831014255,1994-05-11,24312,12,2026,1
female,adult,0,-444.1832954952803,0.08824551496459754,1994-05-17,272520,60,4542,1
male,adult,0,-469.90918867248183,0.09260018245038804,1994-05-20,80340,12,6695,1
female,adult,0,-487.12749432429206,0.043951532995498685,1994-05-21,97632,12,8136,1
male,adult,0,-438.7226669853029,0.06951578032235556,1994-05-22,196080,48,4085,1
female,adult,0,-466.49181503166454,0.07112264763140817,1994-05-26,76908,12,6409,-1
female,adult,1,-405.67212331222373,0.07429299567024478,1994-05-26,63312,48,1319,1
female,adult,1,-402.82829489783734,0.10042983565107459,1994-05-26,25944,24,1081,1
female,adult,0,-494.27291193691013,0.03456990272744612,1994-05-31,104808,12,8734,1
male,adult,0,-441.769626000717,0.1533536992729177,1994-06-01,208320,48,4340,1
male,adult,0,-465.3686222965708,0.03456990272744612,1994-06-03,151560,24,6315,1
female,adult,1,-415.86449994025577,0.06105767202463823,1994-06-04,52128,24,2172,1
male,adult,0,-489.5531126777393,0.032036613272311214,1994-06-04,300204,36,8339,1
male,adult,0,-467.2206954235871,0.042525992841315835,1994-06-05,77640,12,6470,1
male,adult,1,-411.62265503644403,0.0633376420164637,1994-06-06,87216,48,1817,-1
male,adult,0,-433.4054247819334,0.06377253878768113,1994-06-07,87360,24,3640,1
male,adult,1,-407.1776795316048,0.09260018245038804,1994-06-12,69360,48,1445,1
male,adult,0,-447.33779424065006,0.1533536992729177,1994-06-14,288360,60,4806,1
female,adult,0,-476.9112199784921,0.08394551087546712,1994-06-17,174744,24,7281,-1
female,adult,0,-437.59947425020914,0.10787711328618929,1994-06-23,239460,60,3991,1
female,adult,0,-435.5084239455133,0.1533536992729177,1994-06-25,91584,24,3816,1
female,adult,0,-438.61512725534715,0.048248465149873604,1994-06-29,244560,60,4076,1
female,adult,1,-394.87035488110894,0.03493116641429612,1994-07-05,4980,12,415,1
male,adult,0,-445.36623252479393,0.04079489772108579,1994-07-05,111384,24,4641,1
male,adult,0,-481.7385589676187,0.048248465149873604,1994-07-08,276660,36,7685,-1
female,kid,1,-429.31891504361334,0.1533536992729177,1994-07-11,39576,12,3298,1
male,adult,0,-476.44521448201704,0.047460365545794206,1994-07-11,173808,24,7242,1
female,adult,1,-399.9605687656829,0.09260018245038804,1994-07-16,50460,60,841,1
female,adult,0,-440.1087346158443,0.1533536992729177,1994-07-19,252060,60,4201,-1
male,adult,0,-461.55693631258214,0.07112264763140817,1994-07-23,143904,24,5996,1
male,adult,0,-441.72183056518105,0.09654256005366772,1994-07-24,208128,48,4336,-1
male,adult,0,-433.48906679412124,0.1533536992729177,1994-07-28,131292,36,3647,1
male,adult,1,-414.71740948739404,0.053929181051631865,1994-07-30,74736,36,2076,1
female,adult,0,-489.18269805233604,0.05962057065268637,1994-07-30,299088,36,8308,-1
male,adult,1,-427.61022822320473,0.07066674867757412,1994-08-03,189300,60,3155,1
female,adult,1,-404.47723742382607,0.048095413965690705,1994-08-04,14628,12,1219,1
female,adult,0,-430.035846576652,0.1533536992729177,1994-08-05,120888,36,3358,1
female,adult,0,-432.74823754331464,0.08824551496459754,1994-08-07,172080,48,3585,1
female,adult,0,-470.4349384633768,0.1533536992729177,1994-08-10,323472,48,6739,1
male,adult,0,-464.2812761381289,0.06951578032235556,1994-08-11,74688,12,6224,1
female,adult,0,-435.48452622774533,0.05962057065268637,1994-08-23,45768,12,3814,1
female,adult,0,-464.4605090213885,0.05417730399703779,1994-08-25,224604,36,6239,1
female,adult,1,-429.5578922212929,0.03456990272744612,1994-08-27,79632,24,3318,1
male,adult,0,-450.5998327159757,0.048095413965690705,1994-08-27,121896,24,5079,1
female,adult,0,-472.45429561476885,0.03733629782272715,1994-09-02,82896,12,6908,1
male,adult,1,-413.4388815868085,0.06377253878768113,1994-09-10,23628,12,1969,1
male,adult,0,-441.98470546062856,0.03857940321698846,1994-09-11,209184,48,4358,1
male,adult,0,-431.63699366710483,0.05029539257498427,1994-09-19,41904,12,3492,1
female,adult,0,-477.3533277571993,0.08419158940775572,1994-09-26,87816,12,7318,1
male,adult,1,-412.8653363603776,0.09654256005366772,1994-09-28,23052,12,1921,1
female,adult,0,-484.3553590632095,0.03733629782272715,1994-09-28,189696,24,7904,-1
female,adult,0,-466.3245310072888,0.11464167721616698,1994-09-29,230220,36,6395,-1
female,adult,0,-461.06703309833915,0.048095413965690705,1994-09-30,71460,12,5955,1
male,adult,0,-460.23061297646086,0.0414875888079993,1994-09-30,141240,24,5885,1
male,adult,1,-395.75457043852316,0.1533536992729177,1994-10-02,11736,24,489,1
male,adult,0,-453.8857689090692,0.03733629782272715,1994-10-03,192744,36,5354,1
male,adult,0,-465.5478551798303,0.04438886042039787,1994-10-12,227880,36,6330,1
male,adult,1,-407.3449635559805,0.11464167721616698,1994-10-25,17508,12,1459,1
female,adult,0,-438.7943601386068,0.04268826619964974,1994-10-28,98184,24,4091,1
female,adult,0,-474.6767833671885,0.04031682831014255,1994-10-30,170256,24,7094,1
male,adult,0,-472.57378420360857,0.07003122076338446,1994-11-02,83016,12,6918,1
female,adult,1,-405.11052694467685,0.1533536992729177,1994-11-03,61056,48,1272,1
male,adult,1,-420.7037877882663,0.048248465149873604,1994-11-03,123696,48,2577,1
female,adult,1,-419.6642370653603,0.11464167721616698,1994-11-04,59760,24,2490,1
male,adult,1,-406.066435655395,0.1533536992729177,1994-11-06,48672,36,1352,1
male,adult,0,-436.51212809176724,0.1533536992729177,1994-11-06,140400,36,3900,1
female,adult,0,-485.7772732704027,0.043951532995498685,1994-11-12,192552,24,8023,-1
female,adult,0,-444.3625283785399,0.05417730399703779,1994-11-19,164052,36,4557,-1
female,adult,0,-458.0200740829252,0.04556849475777072,1994-12-04,205200,36,5700,1
male,adult,1,-415.50603417373645,0.03731898324364527,1994-12-08,51408,24,2142,1
male,adult,1,-429.6773808101327,0.059153279785809906,1994-12-11,199680,60,3328,1
female,adult,0,-486.08794360138614,0.1533536992729177,1994-12-19,482940,60,8049,-1
female,adult,1,-426.43924005257503,0.05417730399703779,1994-12-20,36684,12,3057,1
female,adult,0,-469.299796869399,0.11464167721616698,1994-12-20,398640,60,6644,1
male,adult,1,-410.0215079459912,0.09654256005366772,1994-12-21,100980,60,1683,1
female,adult,1,-421.02640697813365,0.1533536992729177,1994-12-21,31248,12,2604,1
male,adult,1,-428.41080176843116,0.053929181051631865,1994-12-21,115992,36,3222,1
female,adult,0,-465.9660652407696,0.1533536992729177,1995-01-02,76380,12,6365,1
female,adult,0,-485.657784681563,0.03493116641429612,1995-01-03,288468,36,8013,1
male,adult,0,-434.1582028916239,0.05938831585280381,1995-01-03,177744,48,3703,-1
male,adult,0,-479.7430995339946,0.1533536992729177,1995-01-08,270648,36,7518,-1
male,adult,1,-414.1199665431952,0.03857940321698846,1995-01-08,48624,24,2026,1
female,adult,1,-427.95674513084003,0.1533536992729177,1995-01-11,76416,24,3184,1
male,adult,1,-417.37005615963676,0.042707871572414666,1995-01-14,137880,60,2298,-1
female,adult,0,-476.5288564942049,0.03731898324364527,1995-01-16,347952,48,7249,1
female,adult,0,-457.7333014697097,0.06207256288396894,1995-01-18,68112,12,5676,1
male,adult,0,-485.3112677739277,0.08540574047943363,1995-01-30,95808,12,7984,1
male,adult,1,-395.0973831999044,0.06377253878768113,1995-02-02,20832,48,434,1
male,adult,0,-452.8701159039312,0.1533536992729177,1995-02-05,316140,60,5269,-1
female,adult,0,-432.8916238499223,0.03537833871939065,1995-02-06,43164,12,3597,1
female,adult,0,-444.99581789939066,0.11464167721616698,1995-02-08,221280,48,4610,1
male,adult,1,-427.6819213765086,0.11464167721616698,1995-02-11,151728,48,3161,-1
male,adult,1,-405.8274584777155,0.07217408139678144,1995-02-12,79920,60,1332,1
male,adult,0,-497.15258692794845,0.059153279785809906,1995-02-17,538500,60,8975,1
male,adult,0,-438.3164057832477,0.08540574047943363,1995-02-23,97224,24,4051,1
female,adult,1,-403.97538535069907,0.07066674867757412,1995-03-04,28248,24,1177,1
male,adult,0,-474.04349384633775,0.1533536992729177,1995-03-04,168984,24,7041,-1
female,adult,1,-428.0881825785638,0.05029539257498427,1995-03-11,76680,24,3195,1
female,kid,0,-455.9409726371132,0.07112264763140817,1995-03-15,331560,60,5526,1
male,adult,1,-410.5592065957701,0.03467942903020635,1995-03-16,103680,60,1728,-1
female,adult,1,-414.729358346278,0.04551753664499701,1995-03-16,99696,48,2077,-1
female,adult,0,-457.01636993667114,0.07003122076338446,1995-03-19,134784,24,5616,1
female,adult,1,-405.2658621101686,0.10787711328618929,1995-03-21,15420,12,1285,1
female,adult,1,-405.70796988887565,0.1533536992729177,1995-03-27,31728,24,1322,1
male,adult,0,-436.2014577607839,0.08394551087546712,1995-03-29,185952,48,3874,1
female,adult,0,-441.91301230732466,0.04280338015742821,1995-04-01,156672,36,4352,1
female,adult,1,-408.3964631377704,0.1533536992729177,1995-04-02,18564,12,1547,1
male,adult,1,-429.486199067989,0.03857940321698846,1995-04-05,158976,48,3312,1
male,adult,1,-413.46277930457643,0.04438886042039787,1995-04-10,47304,24,1971,1
male,adult,0,-442.0444497550484,0.11464167721616698,1995-04-11,104712,24,4363,1
male,adult,0,-452.9418090572351,0.09260018245038804,1995-04-13,126600,24,5275,1
female,adult,0,-458.0200740829252,0.05029539257498427,1995-04-15,68400,12,5700,-1
female,adult,0,-434.8034412713586,0.03537833871939065,1995-04-25,225420,60,3757,1
female,adult,0,-472.2750627315092,0.04280338015742821,1995-04-28,248148,36,6893,1
male,adult,0,-483.12462659816,0.04268826619964974,1995-05-01,187224,24,7801,-1
male,adult,1,-426.15246743935955,0.1533536992729177,1995-05-08,36396,12,3033,1
female,adult,1,-427.5624327876688,0.07429299567024478,1995-05-24,189060,60,3151,1
female,adult,1,-413.4986258812284,0.06377253878768113,1995-05-29,71064,36,1974,1
female,adult,1,-411.62265503644403,0.038609906100708365,1995-05-30,87216,48,1817,1
male,adult,1,-421.5282590512607,0.042707871572414666,1995-05-30,158760,60,2646,1
male,adult,0,-472.9680965467798,0.03731898324364527,1995-06-01,417060,60,6951,1
female,adult,1,-402.5295734257379,0.049983484177842374,1995-06-06,63360,60,1056,1
male,adult,1,-404.7401123192736,0.07217408139678144,1995-06-13,29784,24,1241,1
female,adult,0,-459.3822439956985,0.03537833871939065,1995-06-13,139536,24,5814,1
male,adult,0,-477.974668419166,0.04079489772108579,1995-06-23,265320,36,7370,1
male,adult,0,-488.6091528259052,0.10042983565107459,1995-06-24,198240,24,8260,1
male,adult,1,-401.86043732823526,0.083494750621346,1995-07-03,60000,60,1000,1
female,adult,0,-505.6840721711077,0.03456990272744612,1995-07-09,465072,48,9689,1
female,adult,0,-438.99749073963443,0.08824551496459754,1995-07-10,98592,24,4108,1
male,kid,0,-446.7881467319872,0.059153279785809906,1995-07-25,285600,60,4760,1
female,adult,1,-411.8616322141236,0.06729445318646735,1995-08-01,44088,24,1837,1
female,adult,1,-410.04540566375914,0.06729445318646735,1995-08-05,20220,12,1685,1
female,adult,0,-443.50221053889356,0.05437424058323208,1995-08-11,107640,24,4485,1
female,adult,1,-411.21639383438884,0.0633376420164637,1995-08-18,21396,12,1783,1
male,adult,1,-398.371370534114,0.04438886042039787,1995-08-26,33984,48,708,1
male,adult,1,-412.4829728760904,0.04079489772108579,1995-08-29,45336,24,1889,1
female,adult,1,-407.0103955072291,0.05437424058323208,1995-09-03,85860,60,1431,1
female,adult,0,-436.8825427171705,0.04438886042039787,1995-09-09,188688,48,3931,1
male,adult,0,-466.96976938702363,0.083494750621346,1995-09-16,309552,48,6449,1
male,adult,1,-425.9254391205641,0.1533536992729177,1995-09-22,36168,12,3014,1
female,adult,0,-452.54749671406387,0.042525992841315835,1995-10-02,314520,60,5242,1
male,adult,1,-397.1645357868324,0.08394551087546712,1995-10-08,21852,36,607,1
female,adult,0,-442.9286653124627,0.043951532995498685,1995-10-14,266220,60,4437,1
female,adult,0,-466.8144342215319,0.1533536992729177,1995-10-20,231696,36,6436,1
male,adult,0,-476.21818616322145,0.09260018245038804,1995-10-28,260028,36,7223,1
male,adult,0,-473.5296929143267,0.1533536992729177,1995-10-29,419880,60,6998,1
female,adult,1,-427.65802365874066,0.038609906100708365,1995-10-31,37908,12,3159,1
female,adult,1,-414.41868801529455,0.08082071812836232,1995-10-31,73836,36,2051,1
male,adult,0,-431.68478910264076,0.04927897982132045,1995-11-02,41952,12,3496,1
female,kid,0,-439.3679053650377,0.05029539257498427,1995-11-04,99336,24,4139,1
male,adult,1,-409.8781216393835,0.04031682831014255,1995-11-12,60156,36,1671,-1
male,adult,1,-426.1644162982436,0.04079489772108579,1995-11-18,182040,60,3034,1
male,adult,0,-450.7432190225834,0.04268826619964974,1995-11-22,244368,48,5091,1
female,adult,1,-427.6819213765086,0.09654256005366772,1995-11-22,113796,36,3161,1
female,adult,1,-408.097741665671,0.08082071812836232,1995-11-23,73056,48,1522,1
male,adult,0,-458.56972159158806,0.09260018245038804,1995-11-28,137904,24,5746,-1
male,adult,1,-405.43314613454424,0.1533536992729177,1995-11-28,31176,24,1299,1
male,adult,0,-461.9870952324054,0.083494750621346,1995-12-04,217152,36,6032,1
male,adult,0,-438.42394551320353,0.11464167721616698,1995-12-05,194880,48,4060,1
male,adult,1,-417.77631736169207,0.03857940321698846,1995-12-11,27984,12,2332,1
male,adult,0,-436.2014577607839,0.05417730399703779,1995-12-12,92976,24,3874,1
male,adult,0,-442.0444497550484,0.05417730399703779,1995-12-12,104712,24,4363,1
male,adult,1,-428.1240291552157,0.04502307759296351,1995-12-12,191880,60,3198,1
female,adult,0,-447.8037997371252,0.11464167721616698,1995-12-16,232560,48,4845,1
male,adult,0,-430.537698649779,0.053929181051631865,1995-12-18,204000,60,3400,1
male,adult,1,-414.8727446528857,0.1533536992729177,1995-12-25,125340,60,2089,1
male,adult,0,-466.98171824590753,0.083494750621346,1995-12-31,309600,48,6450,1
female,adult,0,-484.3553590632095,0.04079489772108579,1996-01-01,189696,24,7904,1
male,adult,1,-423.6073604970726,0.0414875888079993,1996-01-01,135360,48,2820,1
female,adult,1,-414.5142788863664,0.03467942903020635,1996-01-03,98832,48,2059,1
male,adult,1,-394.9778946110647,0.04289875783225239,1996-01-11,20352,48,424,1
male,adult,1,-422.79483809296215,0.06014908115820807,1996-01-12,165120,60,2752,1
male,adult,0,-434.66005496475094,0.07003122076338446,1996-01-19,89880,24,3745,1
male,adult,0,-432.7243398255467,0.043951532995498685,1996-02-03,128988,36,3583,-1
female,adult,0,-452.8940136216992,0.09643705463182897,1996-02-08,63252,12,5271,1
female,adult,1,-420.60819691719445,0.06439049720887965,1996-02-10,61656,24,2569,-1
female,adult,1,-425.96128569721594,0.05417730399703779,1996-02-12,72408,24,3017,-1
male,adult,1,-427.5982793643208,0.04268826619964974,1996-02-13,113544,36,3154,1
male,adult,1,-401.0837615007767,0.09654256005366772,1996-02-20,56100,60,935,1
female,adult,0,-447.8037997371252,0.03857940321698846,1996-02-21,290700,60,4845,-1
male,adult,1,-420.5842991994265,0.06377253878768113,1996-02-24,123216,48,2567,1
male,adult,0,-465.6195483331342,0.11464167721616698,1996-02-29,380160,60,6336,1
male,adult,0,-460.7085673318199,0.07066674867757412,1996-03-04,213300,36,5925,1
male,adult,0,-451.5796391444618,0.1533536992729177,1996-03-10,247728,48,5161,1
female,adult,0,-457.21950053769865,0.05417730399703779,1996-03-13,202788,36,5633,1
male,adult,1,-428.41080176843116,0.05938831585280381,1996-03-21,154656,48,3222,1
female,adult,1,-414.8607957940017,0.07003122076338446,1996-03-26,100224,48,2088,-1
male,adult,0,-434.3493846337675,0.06439049720887965,1996-04-10,44628,12,3719,1
male,adult,0,-443.5858525510814,0.03171341164381962,1996-04-11,215616,48,4492,-1
male,adult,0,-439.94145059146854,0.04268826619964974,1996-04-15,200976,48,4187,1
female,kid,0,-482.14482016967384,0.042525992841315835,1996-04-18,277884,36,7719,-1
male,adult,0,-451.973951487633,0.07217408139678144,1996-04-21,249312,48,5194,1
male,adult,0,-469.8135978014101,0.1533536992729177,1996-04-25,320976,48,6687,-1
female,adult,1,-420.0585494085315,0.04502307759296351,1996-04-29,30276,12,2523,-1
female,adult,1,-399.75743816465535,0.07003122076338446,1996-04-29,49440,60,824,1
female,adult,1,-420.0585494085315,0.04502307759296351,1996-04-29,30276,12,2523,-1
female,adult,0,-472.5379376269567,0.04031682831014255,1996-05-02,165960,24,6915,1
female,adult,1,-414.52622774525037,0.07003122076338446,1996-05-06,123600,60,2060,1
female,adult,0,-433.8475325606405,0.043951532995498685,1996-05-06,220620,60,3677,1
male,adult,1,-423.00991755287373,0.04827855208293275,1996-05-14,66480,24,2770,-1
male,adult,0,-469.7180069303382,0.038609906100708365,1996-05-18,320592,48,6679,1
male,adult,0,-443.51415939777763,0.083494750621346,1996-05-24,161496,36,4486,1
male,adult,0,-446.5252718365397,0.07291721488342719,1996-05-29,284280,60,4738,1
female,adult,0,-447.33779424065006,0.07259435183413437,1996-05-30,173016,36,4806,1
female,adult,0,-463.3731628629467,0.03456990272744612,1996-06-03,368880,60,6148,1
female,adult,0,-448.377344963556,0.06377253878768113,1996-06-06,176148,36,4893,1
male,adult,0,-436.3089974907397,0.10787711328618929,1996-06-08,186384,48,3883,1
female,adult,0,-479.52802007408303,0.04438886042039787,1996-06-13,360000,48,7500,1
male,adult,1,-395.89795674513095,0.04280338015742821,1996-06-15,30060,60,501,1
male,adult,1,-412.97287609033344,0.07108097804555343,1996-06-29,46320,24,1930,1
female,adult,0,-437.0259290237783,0.05029539257498427,1996-07-06,141948,36,3943,1
female,adult,1,-396.23252479388225,0.08540574047943363,1996-07-11,19044,36,529,1
female,adult,1,-418.3618114470069,0.029488806675488106,1996-07-14,85716,36,2381,1
male,adult,0,-467.5194168956865,0.07291721488342719,1996-07-15,155880,24,6495,1
male,adult,1,-398.0368024853627,0.04927897982132045,1996-07-18,32640,48,680,1
male,adult,1,-396.61488827816953,0.1533536992729177,1996-07-18,20196,36,561,1
female,adult,0,-500.65360258095353,0.04438886042039787,1996-07-23,444864,48,9268,1
female,kid,1,-401.26299438403635,0.09654256005366772,1996-07-25,11400,12,950,1
male,adult,1,-422.03011112438764,0.06377253878768113,1996-07-25,96768,36,2688,1
female,adult,1,-423.2608435894373,0.03857940321698846,1996-07-27,133968,48,2791,1
female,adult,0,-483.06488230374,0.083494750621346,1996-07-28,187104,24,7796,1
male,adult,0,-443.836778587645,0.08419158940775572,1996-07-31,162468,36,4513,1
male,adult,1,-407.70342932249974,0.03733629782272715,1996-08-02,89340,60,1489,1
male,adult,1,-407.70342932249974,0.03733629782272715,1996-08-02,89340,60,1489,1
male,adult,0,-475.6924363723265,0.1533536992729177,1996-08-03,258444,36,7179,1
female,adult,0,-467.39992830684673,0.059153279785809906,1996-08-04,155640,24,6485,1
male,adult,0,-457.21950053769865,0.07492822203317737,1996-08-06,270384,48,5633,1
male,adult,0,-443.7053411399212,0.03537833871939065,1996-08-06,54024,12,4502,1
male,adult,0,-434.09845859720406,0.0633376420164637,1996-08-09,44376,12,3698,1
female,adult,1,-411.2283426932729,0.04438886042039787,1996-08-11,85632,48,1784,1
male,adult,1,-419.56864619428853,0.045007394071883235,1996-08-20,148920,60,2482,1
male,adult,0,-435.2933444856017,0.08419158940775572,1996-08-22,91152,24,3798,1
female,adult,0,-460.43374357748837,0.03857940321698846,1996-08-22,141648,24,5902,1
female,adult,0,-486.62564225116506,0.03171341164381962,1996-08-24,388512,48,8094,-1
male,kid,0,-469.96893296690166,0.07429299567024478,1996-08-25,402000,60,6700,1
female,adult,0,-474.0554427052217,0.045007394071883235,1996-08-28,253512,36,7042,-1
male,adult,1,-413.63006332895213,0.1533536992729177,1996-09-09,71460,36,1985,1
male,adult,1,-419.2340781455371,0.083494750621346,1996-09-11,29448,12,2454,-1
female,adult,1,-406.09033337316293,0.047460365545794206,1996-09-14,48744,36,1354,1
male,adult,1,-425.96128569721594,0.042707871572414666,1996-09-16,181020,60,3017,1
male,adult,1,-412.75779663042186,0.1533536992729177,1996-09-17,68832,36,1912,1
female,adult,1,-414.5142788863664,0.07112264763140817,1996-09-19,74124,36,2059,1
female,adult,0,-433.2381407575577,0.07066674867757412,1996-09-19,174048,48,3626,1
female,adult,0,-431.7923288325965,0.03171341164381962,1996-09-22,84120,24,3505,1
male,adult,0,-454.61464930099186,0.09071520992281265,1996-09-25,194940,36,5415,1
female,adult,1,-397.4752061178158,0.08540574047943363,1996-09-25,15192,24,633,1
female,adult,0,-485.66973354044694,0.04438886042039787,1996-09-26,96168,12,8014,1
male,adult,0,-436.2014577607839,0.04827855208293275,1996-09-26,139464,36,3874,-1
male,adult,1,-407.96630421794725,0.03733629782272715,1996-09-28,54396,36,1511,1
male,adult,0,-468.06906440434943,0.07112264763140817,1996-10-02,392460,60,6541,1
female,adult,0,-490.9989246027005,0.1533536992729177,1996-10-03,101520,12,8460,1
female,adult,1,-415.5299318915044,0.1533536992729177,1996-10-04,77184,36,2144,1
male,adult,1,-407.5002987214721,0.1533536992729177,1996-10-04,70656,48,1472,1
female,adult,1,-406.006691360975,0.032036613272311214,1996-10-10,64656,48,1347,1
female,adult,0,-468.79794479627196,0.04079489772108579,1996-10-16,396120,60,6602,1
male,adult,0,-436.51212809176724,0.06729445318646735,1996-10-20,93600,24,3900,1
female,adult,1,-397.5349504122357,0.04031682831014255,1996-10-23,22968,36,638,1
female,adult,0,-442.28342693272793,0.06439049720887965,1996-10-24,262980,60,4383,1
female,adult,0,-464.01840124268136,0.04438886042039787,1996-10-29,372120,60,6202,1
female,adult,0,-475.72828294897846,0.07003122076338446,1996-10-29,86184,12,7182,1
female,adult,0,-475.72828294897846,0.07003122076338446,1996-10-29,86184,12,7182,1
female,adult,0,-453.8857689090692,0.038609906100708365,1996-10-31,192744,36,5354,1
female,kid,1,-424.03751941689575,0.07291721488342719,1996-11-03,68544,24,2856,1
male,adult,0,-477.974668419166,0.10787711328618929,1996-11-06,88440,12,7370,1
male,adult,0,-444.73294300394315,0.03477866019219542,1996-11-09,110112,24,4588,1
female,adult,0,-444.74489186282716,0.1533536992729177,1996-11-11,110136,24,4589,1
male,adult,0,-444.9360736049708,0.04438886042039787,1996-11-12,276300,60,4605,1
male,adult,0,-461.55693631258214,0.04927897982132045,1996-11-15,359760,60,5996,1
female,adult,0,-453.87382005018526,0.07259435183413437,1996-11-15,321180,60,5353,1
male,adult,1,-401.40638069064414,0.038609906100708365,1996-11-15,46176,48,962,1
male,adult,0,-494.7150197156172,0.07259435183413437,1996-11-18,421008,48,8771,1
male,adult,0,-461.7242203369579,0.03857940321698846,1996-11-19,72120,12,6010,1
female,adult,0,-465.6792926275541,0.1533536992729177,1996-11-22,228276,36,6341,1
female,adult,0,-435.3769864977895,0.038609906100708365,1996-11-25,182640,48,3805,1
male,adult,0,-451.2092245190585,0.05417730399703779,1996-11-28,61560,12,5130,1
male,adult,0,-434.5525152347951,0.09654256005366772,1996-11-28,179328,48,3736,1
female,adult,1,-428.6497789461107,0.08824551496459754,1996-12-04,155616,48,3242,1
male,adult,0,-473.0756362767356,0.048095413965690705,1996-12-05,417600,60,6960,1
male,adult,0,-451.3526108256662,0.08082071812836232,1996-12-11,123408,24,5142,1
male,adult,1,-428.6497789461107,0.083494750621346,1996-12-12,155616,48,3242,1
male,adult,0,-434.1582028916239,0.03731898324364527,1996-12-15,222180,60,3703,-1
female,adult,1,-401.11960807742867,0.07003122076338446,1996-12-21,45024,48,938,1
male,adult,1,-428.3510574740113,0.04031682831014255,1996-12-25,115812,36,3217,1
female,adult,0,-454.33982554666034,0.05962057065268637,1996-12-27,129408,24,5392,1
