loan_id,gender,ageGroup,effortRate,savingsRate,distCrime,expenses,age,account_id,date,amount,duration,payments,status
5895,male,adult,18.67,-202.61,5.39,23823,35,4473,1997-01-03,93960,60,1566,
7122,female,adult,83.99,-197.66,3.78,18418,48,10365,1997-01-04,260640,36,7240,
6173,female,adult,16.67,-5.73,7.26,25891,58,5724,1997-01-08,232560,48,4845,
6142,male,adult,16.67,8.1,6.73,16692,51,5591,1997-01-21,221880,60,3698,
5358,male,adult,68.69,-130.17,3.47,7546,58,2018,1997-01-21,38520,12,3210,
6095,male,adult,4.69,-5.96,7.43,24618,44,5358,1997-01-24,68340,60,1139,
6878,female,adult,24.67,-28.8,4.56,8156,18,9242,1997-01-24,23184,12,1932,
6554,female,adult,33.7,-8.16,4.85,17960,24,7637,1997-01-29,390096,48,8127,
6793,male,adult,37.46,-622.04,3.49,56738,50,8931,1997-01-30,186300,60,3105,
7286,male,adult,16.66,-34.41,5.92,13214,25,11271,1997-01-31,67320,36,1870,
6076,male,adult,9.53,-41.98,5.0,27190,31,5269,1997-02-02,117420,60,1957,
5134,male,adult,27.86,-55.52,4.08,20270,49,825,1997-02-02,53076,12,4423,
5419,female,adult,55.26,-209.94,15.34,31939,48,2246,1997-02-05,415800,60,6930,
6255,female,adult,63.69,8.94,5.96,2220,40,6158,1997-02-08,247920,48,5165,
5656,female,adult,57.02,-122.44,11.46,17655,44,3353,1997-02-09,146064,24,6086,
6934,male,adult,106.94,-182.5,4.5,15983,52,9494,1997-02-09,116832,12,9736,
6028,female,adult,22.09,-27.95,7.39,25364,29,5072,1997-02-09,317520,60,5292,
6490,female,adult,7.14,9.98,7.0,14175,57,7262,1997-02-10,73260,60,1221,
6415,male,adult,107.74,-162.39,7.47,14225,31,6950,1997-02-12,475680,48,9910,
7087,male,adult,12.9,-6.32,6.38,13369,31,10215,1997-02-20,44304,24,1846,
5420,female,adult,33.6,-321.71,8.54,34895,47,2247,1997-02-24,72504,24,3021,
5977,female,adult,27.92,-110.38,7.22,8052,18,4803,1997-02-25,59136,48,1232,
6824,male,adult,31.82,-290.6,4.93,33815,32,9052,1997-02-26,71976,24,2999,
5207,male,adult,7.56,-8.83,5.03,10019,51,1244,1997-02-28,35904,48,748,
7115,male,adult,27.93,-59.05,6.95,8675,39,10351,1997-03-04,88704,48,1848,
7250,female,adult,27.38,-108.73,7.29,16439,34,11069,1997-03-04,119136,48,2482,
6010,male,adult,29.65,-153.29,3.73,18877,60,4969,1997-03-06,150180,60,2503,
6088,male,adult,29.15,-73.05,4.28,12367,37,5317,1997-03-07,90180,36,2505,
5682,male,adult,16.67,-15.35,8.39,33291,62,3455,1997-03-07,67464,12,5622,
7201,male,adult,16.67,-13.97,8.39,32827,62,10807,1997-03-07,67464,12,5622,
6938,male,adult,15.34,-0.95,6.73,31749,48,9504,1997-03-10,341280,60,5688,
6875,female,adult,11.05,-14.29,7.29,16206,56,9235,1997-03-13,83280,48,1735,
5953,female,adult,8.83,10.43,9.07,37025,42,4715,1997-03-14,97176,24,4049,
5942,female,adult,16.67,-25.19,7.0,22061,40,4681,1997-03-15,162624,48,3388,
5382,female,adult,5.03,3.71,3.86,11547,44,2134,1997-03-17,22932,36,637,
6377,female,adult,12.14,-16.69,15.34,12329,53,6792,1997-03-17,17184,12,1432,
5931,female,adult,30.95,-420.45,7.49,43957,31,4618,1997-03-17,66696,24,2779,
5992,female,adult,16.67,0.25,5.92,31608,18,4863,1997-03-18,76080,12,6340,
5790,female,adult,20.14,2.26,4.56,6767,20,4033,1997-03-20,84288,48,1756,
6753,female,adult,66.55,-62.5,3.46,8167,51,8688,1997-03-20,67980,12,5665,
6562,male,adult,31.39,-272.52,15.34,42781,39,7674,1997-03-21,94488,24,3937,
7046,female,adult,176.15,-304.82,2.95,9913,62,10049,1997-03-28,91632,12,7636,
5868,male,adult,16.67,-14.38,3.17,44043,49,4361,1997-03-29,90156,12,7513,
5784,male,adult,23.74,-213.62,9.65,28689,59,3967,1997-03-29,84600,36,2350,
5878,female,adult,25.37,-31.74,4.83,25875,41,4415,1997-04-01,74040,12,6170,
5110,male,adult,17.87,-52.69,4.29,12860,57,675,1997-04-01,102240,60,1704,
5210,female,adult,16.67,-15.28,6.44,24346,35,1252,1997-04-01,148140,36,4115,
7230,female,adult,2.45,14.45,4.55,10603,42,10954,1997-04-02,18720,60,312,
5005,male,adult,26.37,-485.63,5.94,48533,30,176,1997-04-10,27456,12,2288,
6871,female,adult,35.56,-163.5,9.26,21932,25,9225,1997-04-13,164256,48,3422,
5363,female,adult,50.89,-267.92,4.44,30511,22,2051,1997-04-22,293880,60,4898,
7253,male,adult,16.67,-13.89,4.03,47782,27,11079,1997-04-26,98304,12,8192,
6055,female,adult,75.43,-202.77,6.21,20049,55,5181,1997-04-28,399120,60,6652,
5072,female,adult,16.67,-12.5,9.07,47152,37,472,1997-04-28,196800,24,8200,
6913,female,adult,33.2,-156.85,15.34,28048,31,9377,1997-04-29,99936,24,4164,
6386,female,adult,36.65,-160.48,4.93,21096,18,6856,1997-04-30,124344,36,3454,
5634,male,adult,33.79,-331.33,4.44,38259,61,3229,1997-05-01,39024,12,3252,
5758,male,adult,62.14,-297.21,3.48,27610,35,3859,1997-05-02,307200,60,5120,
6819,male,adult,21.89,-420.95,7.07,47600,49,9031,1997-05-03,50112,24,2088,
7088,male,adult,16.67,-9.85,3.2,22284,50,10233,1997-05-03,239160,60,3986,
5039,male,adult,7.55,1.28,6.33,33640,62,314,1997-05-03,66840,24,2785,
5532,female,adult,16.67,-13.92,4.56,40761,45,2754,1997-05-04,335280,48,6985,
6037,male,adult,13.19,-30.41,8.35,9857,33,5118,1997-05-04,53232,48,1109,
6322,male,adult,30.06,-393.98,11.46,49515,32,6510,1997-05-06,76992,24,3208,
6887,male,adult,16.66,-25.09,5.03,21458,27,9263,1997-05-08,39576,12,3298,
6660,male,adult,13.31,-2.94,5.96,41236,35,8094,1997-05-09,220428,36,6123,
5451,female,adult,37.11,-316.99,5.16,34068,24,2350,1997-05-11,159744,48,3328,
6014,male,adult,16.66,-11.21,15.34,26030,34,4999,1997-05-18,165168,36,4588,
5556,female,adult,36.81,-71.41,15.34,16353,45,2872,1997-05-19,268320,60,4472,
6346,male,adult,13.32,-20.47,15.34,13437,30,6649,1997-05-22,100260,60,1671,
5850,female,adult,47.39,-209.34,4.44,25210,41,4293,1997-05-22,164196,36,4561,
5940,female,adult,14.16,19.8,3.49,20790,44,4660,1997-05-28,106944,24,4456,
7119,female,adult,16.67,-4.25,4.5,38046,57,10361,1997-06-02,86880,12,7240,
5253,female,adult,16.67,35.76,4.27,5950,32,1447,1997-06-03,100080,48,2085,
6851,female,adult,42.06,-194.91,7.22,27275,51,9138,1997-06-03,272220,60,4537,
6695,male,adult,16.67,18.02,6.01,20225,41,8320,1997-06-04,309660,60,5161,
6908,female,adult,93.07,-219.81,4.5,19146,57,9353,1997-06-08,188616,24,7859,
7255,female,adult,14.66,-14.87,4.28,24295,42,11096,1997-06-09,213300,60,3555,
5674,female,adult,51.48,-648.31,3.47,58450,32,3418,1997-06-10,207264,48,4318,
6278,male,adult,39.11,-620.82,5.92,63447,60,6265,1997-06-10,87360,24,3640,
5486,female,adult,113.75,-200.56,7.39,15965,51,2516,1997-06-13,466608,48,9721,
5174,female,adult,16.67,-8.53,9.65,44222,41,1093,1997-06-13,385104,48,8023,
6621,female,adult,41.86,-457.86,6.01,44072,37,7957,1997-06-14,42900,12,3575,
6313,male,adult,51.2,-237.28,4.15,23421,27,6461,1997-06-15,150912,36,4192,
6435,male,adult,16.67,21.63,6.01,22269,54,7045,1997-06-16,288720,48,6015,
6970,male,adult,4.67,-34.29,9.07,14617,58,9677,1997-06-17,31620,60,527,
6310,female,adult,22.97,-137.19,15.34,26865,21,6440,1997-06-17,34572,12,2881,
5932,female,adult,31.23,-236.0,6.73,27122,27,4626,1997-06-18,33348,12,2779,
6877,female,adult,44.54,-150.71,11.46,22004,46,9241,1997-06-19,285240,60,4754,
6763,female,adult,14.66,-21.13,15.34,13352,18,8772,1997-06-19,88272,48,1839,
7085,female,adult,62.52,-266.31,7.0,30916,34,10202,1997-06-19,305424,48,6363,
7049,male,adult,66.48,-362.05,7.43,38580,38,10063,1997-06-24,233424,36,6484,
6959,male,adult,24.34,-215.8,7.0,29662,45,9633,1997-06-30,59448,24,2477,
5214,male,adult,16.66,-23.3,4.81,13291,37,1270,1997-07-01,74772,36,2077,
6350,female,adult,61.97,-395.95,9.65,42951,31,6678,1997-07-09,294384,48,6133,
5063,female,adult,73.81,26.19,9.65,0,56,442,1997-07-10,357840,48,7455,
5041,female,adult,64.48,-205.21,7.07,22961,23,319,1997-07-11,369000,60,6150,
5086,female,adult,43.07,-99.99,7.0,15970,41,525,1997-07-16,210384,48,4383,
6942,male,adult,7.51,-15.35,4.5,21920,52,9513,1997-07-16,18324,12,1527,
5270,male,adult,22.03,-26.27,4.15,18841,35,1528,1997-07-21,191088,48,3981,
6705,female,adult,69.2,-550.2,7.26,58362,21,8381,1997-07-25,333648,48,6951,
7051,female,adult,51.7,-172.47,15.34,27686,34,10068,1997-07-28,77808,12,6484,
6758,male,adult,17.63,-12.73,7.0,14896,21,8742,1997-07-29,33144,12,2762,
6249,male,adult,16.66,-32.71,9.65,19617,42,6138,1997-07-30,67608,24,2817,
5808,female,adult,8.81,-86.91,9.65,17626,37,4099,1997-07-31,41856,48,872,
5377,female,adult,75.66,-232.43,7.0,26131,23,2116,1997-08-04,92400,12,7700,
5446,male,adult,16.67,-52.26,4.15,16377,39,2334,1997-08-04,48312,24,2013,
5856,female,adult,48.56,-591.24,3.54,56646,52,4320,1997-08-09,51360,12,4280,
4986,female,adult,47.82,-53.61,11.46,18967,61,97,1997-08-10,102876,12,8573,
7001,female,adult,16.67,2.81,3.2,24209,33,9859,1997-08-10,300600,60,5010,
6677,female,kid,14.83,-25.25,3.73,12159,17,8169,1997-08-12,97980,60,1633,
6665,female,adult,8.88,-16.65,4.5,20091,24,8114,1997-08-15,99300,60,1655,
5817,male,adult,51.3,-152.82,4.15,16498,59,4127,1997-08-15,100800,24,4200,
6984,male,adult,18.08,-15.82,9.65,10452,53,9730,1997-08-15,116040,60,1934,
6541,male,adult,16.67,-29.71,4.5,21690,22,7565,1997-08-17,153504,48,3198,
5117,female,adult,51.13,-161.07,15.34,26329,41,718,1997-08-20,76944,12,6412,
6097,male,adult,16.67,-24.7,5.14,27395,63,5362,1997-08-21,202848,48,4226,
5389,male,adult,16.67,9.03,6.01,14600,41,2165,1997-08-22,78600,24,3275,
7219,male,adult,12.83,-5.32,8.42,8575,39,10905,1997-08-23,57120,48,1190,
6338,female,adult,51.92,-436.36,15.34,60754,19,6592,1997-08-24,390660,60,6511,
6922,female,adult,16.67,-2.62,9.65,11978,20,9424,1997-08-26,83628,36,2323,
5367,female,adult,16.67,-2.0,9.65,11892,20,2064,1997-08-26,83628,36,2323,
5638,male,adult,27.48,-43.28,11.46,23928,40,3249,1997-08-27,68124,12,5677,
5830,male,adult,61.27,-91.63,3.86,14389,46,4190,1997-08-28,405780,60,6763,
5338,male,adult,16.57,-15.74,7.39,28599,40,1888,1997-08-30,57360,12,4780,
6007,female,adult,16.67,-12.25,7.11,34637,53,4949,1997-08-30,289920,48,6040,
6612,female,adult,79.75,-271.35,7.0,29676,36,7907,1997-08-31,97392,12,8116,
5718,female,adult,7.32,-10.22,3.48,16439,52,3637,1997-09-01,14028,12,1169,
6104,male,adult,46.07,-170.06,7.07,21364,44,5395,1997-09-05,158184,36,4394,
5229,female,adult,16.67,-22.23,3.48,12415,53,1329,1997-09-06,23520,12,1960,
6625,female,adult,79.7,-215.95,9.65,23382,30,7966,1997-09-07,473280,60,7888,
5206,female,adult,50.18,-177.88,11.46,24302,46,1242,1997-09-07,128544,24,5356,
5963,male,adult,34.49,-151.74,9.65,21502,44,4746,1997-09-07,204780,60,3413,
4990,male,adult,19.27,-9.96,7.47,21257,44,110,1997-09-08,162576,36,4516,
6641,male,adult,14.88,-3.55,7.47,21229,55,8026,1997-09-09,128268,36,3563,
5369,female,adult,12.09,-6.38,11.46,46500,60,2080,1997-09-12,214596,36,5961,
6196,female,adult,53.07,-325.03,5.92,34619,26,5837,1997-09-14,177804,36,4939,
5236,male,adult,16.67,-3.3,3.48,42142,30,1374,1997-09-15,389136,48,8107,
5719,male,adult,45.12,-210.0,15.34,33219,21,3664,1997-09-20,271584,48,5658,
5643,male,adult,15.83,-13.94,11.46,48821,45,3273,1997-09-21,94512,12,7876,
7050,female,adult,77.48,-650.07,5.14,56289,51,10065,1997-09-23,311232,48,6484,
6355,male,adult,16.67,-34.46,7.89,18730,32,6699,1997-09-24,127200,48,2650,
6688,male,adult,2.83,-4.91,4.5,12966,22,8268,1997-09-26,8616,24,359,
6239,female,adult,87.97,-567.0,7.39,49484,20,6083,1997-09-28,360864,48,7518,
5531,male,adult,12.57,-23.11,7.22,24341,34,2753,1997-09-30,66432,24,2768,
6113,female,adult,16.67,14.0,8.35,9094,26,5445,1997-10-01,78696,36,2186,
7181,female,adult,65.72,-325.34,15.34,45100,35,10679,1997-10-02,197808,24,8242,
6118,male,adult,83.47,-452.74,4.56,40920,43,5477,1997-10-04,349392,48,7279,
7264,female,adult,29.86,-134.7,15.34,25689,21,11141,1997-10-07,44940,12,3745,
5343,male,adult,14.94,-135.5,15.34,27661,27,1906,1997-10-08,44952,24,1873,
5051,male,adult,38.82,-606.8,5.03,66084,36,378,1997-10-11,230400,60,3840,
5779,female,adult,34.83,-438.5,3.2,43119,58,3942,1997-10-14,107352,36,2982,
6605,female,adult,25.6,-43.36,6.95,7604,46,7890,1997-10-14,79344,48,1653,
6655,female,adult,49.62,-317.48,4.83,32173,47,8085,1997-10-17,260400,60,4340,
6534,male,adult,92.82,-143.3,9.65,15965,30,7542,1997-10-19,590820,60,9847,
5681,male,kid,32.67,-104.58,4.29,15054,14,3448,1997-10-20,68664,24,2861,
6607,male,adult,49.69,-477.22,3.2,45162,28,7894,1997-10-21,153144,36,4254,
6242,female,adult,9.08,40.38,3.73,4050,24,6097,1997-10-22,26208,36,728,
7242,male,adult,16.67,8.02,8.42,9056,39,11027,1997-10-23,48096,24,2004,
7277,male,adult,16.67,-3.73,15.34,38867,50,11231,1997-10-24,89280,12,7440,
6675,male,adult,16.67,-11.45,4.27,37710,33,8158,1997-11-01,238716,36,6631,
5398,female,adult,50.07,-449.93,6.73,44482,63,2187,1997-11-04,53472,12,4456,
5956,male,adult,16.67,-9.52,4.83,26042,47,4725,1997-11-04,168264,36,4674,
5731,female,adult,85.56,-233.39,7.49,22255,33,3711,1997-11-05,460980,60,7683,
6956,male,adult,16.67,-2.4,9.26,12741,40,9631,1997-11-09,59448,24,2477,
6437,male,adult,16.67,49.56,4.81,3600,50,7052,1997-11-09,63972,36,1777,
5447,female,adult,64.47,-86.03,7.0,17010,51,2335,1997-11-12,541200,60,9020,
5973,male,adult,15.53,37.38,4.85,13867,42,4784,1997-11-24,219456,48,4572,
6075,female,adult,55.24,-295.77,7.43,33211,24,5267,1997-11-26,129312,24,5388,
5281,male,adult,99.03,-445.03,3.17,36451,29,1580,1997-11-27,194256,24,8094,
5103,male,adult,7.13,-12.03,3.2,15377,61,666,1997-11-28,12540,12,1045,
6468,female,adult,13.71,-9.48,15.34,23752,43,7176,1997-11-30,203940,60,3399,
7209,male,adult,78.49,-208.01,4.15,18791,41,10857,1997-11-30,385560,60,6426,
5584,male,adult,4.41,-0.52,3.49,22517,39,2986,1997-12-06,24792,24,1033,
4988,male,adult,89.29,-238.2,4.25,20545,30,103,1997-12-06,265320,36,7370,
6502,male,adult,25.5,-503.05,5.03,57137,35,7424,1997-12-08,30276,12,2523,
